trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-line,5,2467,2003,2,5,true
2,adaptive-prasle-line,5,1827,2067,2,5,true
3,adaptive-prasle-line,5,2379,2243,2,5,true
4,adaptive-prasle-line,5,2339,1628,2,5,true
5,adaptive-prasle-line,5,2462,2059,2,5,true
6,adaptive-prasle-line,5,2330,1649,2,5,true
7,adaptive-prasle-line,5,1952,1780,2,5,true
8,adaptive-prasle-line,5,2368,1920,2,5,true
9,adaptive-prasle-line,5,2460,1984,2,5,true
10,adaptive-prasle-line,5,1942,2113,2,5,true
