trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-mesh,50,1989,1608,25,50,true
2,adaptive-prasle-mesh,50,1874,1747,25,50,true
3,adaptive-prasle-mesh,50,1551,1539,25,50,true
4,adaptive-prasle-mesh,50,1746,1750,25,50,true
5,adaptive-prasle-mesh,50,1708,1738,25,50,true
6,adaptive-prasle-mesh,50,1696,1801,25,50,true
7,adaptive-prasle-mesh,50,1656,1632,25,50,true
8,adaptive-prasle-mesh,50,1842,1837,25,50,true
9,adaptive-prasle-mesh,50,1729,1616,25,50,true
10,adaptive-prasle-mesh,50,1599,1598,25,50,true
