trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-ring,100,120,1549,120272,272
2,adaptive-prasle-ring,100,120,1568,120303,303
3,adaptive-prasle-ring,100,120,1617,120340,340
4,adaptive-prasle-ring,100,120,1539,120262,262
5,adaptive-prasle-ring,100,120,1485,120208,208
6,adaptive-prasle-ring,100,120,1519,120242,242
7,adaptive-prasle-ring,100,120,1467,120190,190
8,adaptive-prasle-ring,100,120,1546,120269,269
9,adaptive-prasle-ring,100,120,1539,120262,262
10,adaptive-prasle-ring,100,120,1568,120291,291
