trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle-ring,50,1699,1550,25,50,true
2,adaptive-prasle-ring,50,1783,1594,25,50,true
3,adaptive-prasle-ring,50,1702,1553,25,50,true
4,adaptive-prasle-ring,50,1647,1683,25,50,true
5,adaptive-prasle-ring,50,1625,1763,25,50,true
6,adaptive-prasle-ring,50,1664,1532,25,50,true
7,adaptive-prasle-ring,50,1610,1732,25,50,true
8,adaptive-prasle-ring,50,1774,1744,25,50,true
9,adaptive-prasle-ring,50,1532,1612,25,50,true
10,adaptive-prasle-ring,50,1733,1548,25,50,true
