trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle,100,120,1503,120317,317
2,adaptive-prasle,100,120,1835,120084,84
3,adaptive-prasle,100,120,1526,120277,277
4,adaptive-prasle,100,120,1543,120110,110
5,adaptive-prasle,100,120,1883,120305,305
6,adaptive-prasle,100,120,1633,120281,281
7,adaptive-prasle,100,120,1572,120277,277
8,adaptive-prasle,100,120,1871,120121,121
9,adaptive-prasle,100,120,1820,120084,84
10,adaptive-prasle,100,120,1505,120118,118
