Algorithm,Nodes,Conv. Mean (ms),Conv. Std (ms),Conv. 95% CI,Messages Mean,Messages Std,Elections Mean,Leader Changes Mean,Trials
Bully,5,4923.40,473.73,±293.62,18.3,44.9,1.1,1.0,10
Bully,10,5232.60,559.64,±346.87,66.2,74.9,1.0,1.0,10
Bully,50,4932.80,270.74,±167.80,44.5,29.1,1.9,7.0,10
Bully,100,4530.90,160.57,±99.52,152.6,79.2,8.2,38.5,10
Ring,5,767.80,515.68,±319.62,146.9,0.3,0.1,1.0,10
Ring,10,1019.40,375.30,±232.61,146.9,0.3,0.0,1.0,10
Ring,50,3589.30,866.11,±536.82,146.2,1.5,0.0,1.0,10
Ring,100,6995.90,1345.66,±834.05,173.2,20.7,0.1,1.0,10
PraSLE,5,3335.00,204.70,±126.88,387.0,0.0,1.0,1.0,10
PraSLE,10,3101.30,149.84,±92.87,388.2,1.5,1.0,1.0,10
PraSLE,50,2869.70,128.70,±79.77,389.7,0.9,1.0,1.0,10
PraSLE,100,2842.80,61.32,±38.00,390.0,0.0,1.0,1.0,10
Adaptive-PraSLE,5,2101.80,301.67,±186.97,16.9,4.0,1.0,4.2,10
Adaptive-PraSLE,10,1907.50,101.30,±62.79,21.9,2.2,1.0,6.3,10
Adaptive-PraSLE,50,1621.40,127.72,±79.16,21.9,4.1,1.0,5.7,10
Adaptive-PraSLE,100,1577.10,96.03,±59.52,22.2,4.1,1.0,6.2,10
