trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-line,50,2852,2806,1,35,true
2,prasle-line,50,2853,2835,1,34,true
3,prasle-line,50,2848,3034,1,26,true
4,prasle-line,50,3008,2922,1,37,true
5,prasle-line,50,2957,2936,1,38,true
6,prasle-line,50,2854,2936,1,46,true
7,prasle-line,50,2861,2846,1,49,true
8,prasle-line,50,2944,2825,16,26,true
9,prasle-line,50,3089,2896,1,36,true
10,prasle-line,50,2831,2842,18,33,true
