timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2747,60,ring,2747,1,1,2747,3,0,18,0,1,60,0,2747,0,2,0,0,0,LEADER,1,3,1,63,1,3,0,0,0,0,0,0,0,0,0
2884,46,ring,2884,1,1,2884,3,0,18,0,1,46,0,2884,0,2,0,0,0,LEADER,1,3,1,49,1,3,0,0,0,0,0,0,0,0,0
2899,25,ring,2899,1,1,2899,3,0,18,0,1,25,0,2899,0,2,0,0,0,LEADER,1,3,1,28,1,3,0,0,0,0,0,0,0,0,0
2732,89,ring,2732,1,1,2732,3,0,18,0,1,89,0,2732,0,2,0,0,0,LEADER,1,3,1,92,1,3,0,0,0,0,0,0,0,0,0
2987,24,ring,2987,1,1,2987,3,0,18,0,1,24,0,2987,0,2,0,0,0,LEADER,1,3,1,27,1,3,0,0,0,0,0,0,0,0,0
2832,5,ring,2832,1,1,2832,3,4,18,24,1,1,0,2832,0,2,0,0,0,NORMAL,0,3,1,2,5,3,4,0,0,0,0,0,0,0,0
3035,22,ring,3035,1,1,3035,3,0,18,0,1,22,0,3035,0,2,0,0,0,LEADER,1,3,1,25,1,3,0,0,0,0,0,0,0,0,0
2762,28,ring,2762,1,1,2762,3,0,18,0,1,28,0,2762,0,2,0,0,0,LEADER,1,3,1,31,1,3,0,0,0,0,0,0,0,0,0
2884,57,ring,2884,1,1,2884,3,0,18,0,1,57,0,2884,0,2,0,0,0,LEADER,1,3,1,60,1,3,0,0,0,0,0,0,0,0,0
3014,23,ring,3014,1,1,3014,3,0,18,0,1,23,0,3014,0,2,0,0,0,LEADER,1,3,1,26,1,3,0,0,0,0,0,0,0,0,0
2869,81,ring,2869,1,1,2869,3,0,18,0,1,81,0,2869,0,2,0,0,0,LEADER,1,3,1,84,1,3,0,0,0,0,0,0,0,0,0
2817,37,ring,2817,1,1,2817,3,0,18,0,1,37,0,2817,0,2,0,0,0,LEADER,1,3,1,40,1,3,0,0,0,0,0,0,0,0,0
