timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2707,100,ring,2707,1,1,2707,3,2,18,12,1,1,0,2707,0,2,0,0,0,NORMAL,0,3,1,3,3,3,2,0,0,0,0,0,0,0,0
2804,56,ring,2804,1,1,2804,3,0,18,0,1,56,0,2804,0,2,0,0,0,LEADER,1,3,1,59,1,3,0,0,0,0,0,0,0,0,0
2722,68,ring,2722,1,1,2722,3,0,18,0,1,68,0,2722,0,2,0,0,0,LEADER,1,3,1,71,1,3,0,0,0,0,0,0,0,0,0
2840,23,ring,2840,1,1,2840,3,0,18,0,1,23,0,2840,0,2,0,0,0,LEADER,1,3,1,26,1,3,0,0,0,0,0,0,0,0,0
2843,41,ring,2843,1,1,2843,3,0,18,0,1,41,0,2843,0,2,0,0,0,LEADER,1,3,1,44,1,3,0,0,0,0,0,0,0,0,0
2907,43,ring,2907,1,1,2907,3,0,18,0,1,43,0,2907,0,2,0,0,0,LEADER,1,3,1,46,1,3,0,0,0,0,0,0,0,0,0
2704,26,ring,2704,1,1,2704,3,0,18,0,1,26,0,2704,0,2,0,0,0,LEADER,1,3,1,29,1,3,0,0,0,0,0,0,0,0,0
2995,62,ring,2995,1,1,2995,3,0,18,0,1,62,0,2995,0,2,0,0,0,LEADER,1,3,1,65,1,3,0,0,0,0,0,0,0,0,0
2782,1,ring,2782,1,1,2782,3,2,18,12,1,1,0,2782,0,2,0,0,0,LEADER,1,3,1,4,1,3,2,0,0,0,0,0,0,0,0
2755,78,ring,2755,1,1,2755,3,0,18,0,1,78,0,2755,0,2,0,0,0,LEADER,1,3,1,81,1,3,0,0,0,0,0,0,0,0,0
2922,11,ring,2922,1,1,2922,3,0,18,0,1,11,0,2922,0,2,0,0,0,LEADER,1,3,1,14,1,3,0,0,0,0,0,0,0,0,0
2955,21,ring,2955,1,1,2955,3,0,18,0,1,21,0,2955,0,2,0,0,0,LEADER,1,3,1,24,1,3,0,0,0,0,0,0,0,0,0
3198,79,ring,3198,1,1,3198,3,0,18,0,1,79,0,3198,0,2,0,0,0,LEADER,1,3,1,82,1,3,0,0,0,0,0,0,0,0,0
2892,75,ring,2892,1,1,2892,3,0,18,0,1,75,0,2892,0,2,0,0,0,LEADER,1,3,1,78,1,3,0,0,0,0,0,0,0,0,0
2750,55,ring,2750,1,1,2750,3,0,18,0,1,55,0,2750,0,2,0,0,0,LEADER,1,3,1,58,1,3,0,0,0,0,0,0,0,0,0
2958,95,ring,2958,1,1,2958,3,0,18,0,1,95,0,2958,0,2,0,0,0,LEADER,1,3,1,98,1,3,0,0,0,0,0,0,0,0,0
3131,59,ring,3131,1,1,3131,3,0,18,0,1,59,0,3131,0,2,0,0,0,LEADER,1,3,1,62,1,3,0,0,0,0,0,0,0,0,0
3246,57,ring,3246,1,1,3246,3,0,18,0,1,57,0,3246,0,2,0,0,0,LEADER,1,3,1,60,1,3,0,0,0,0,0,0,0,0,0
3146,27,ring,3146,1,1,3146,3,0,18,0,1,27,0,3146,0,2,0,0,0,LEADER,1,3,1,30,1,3,0,0,0,0,0,0,0,0,0
3116,91,ring,3116,1,1,3116,3,0,18,0,1,91,0,3116,0,2,0,0,0,LEADER,1,3,1,94,1,3,0,0,0,0,0,0,0,0,0
2961,35,ring,2961,1,1,2961,3,0,18,0,1,35,0,2961,0,2,0,0,0,LEADER,1,3,1,38,1,3,0,0,0,0,0,0,0,0,0
2888,13,ring,2888,1,1,2888,3,0,18,0,1,13,0,2888,0,2,0,0,0,LEADER,1,3,1,16,1,3,0,0,0,0,0,0,0,0,0
3228,15,ring,3228,1,1,3228,3,0,18,0,1,15,0,3228,0,2,0,0,0,LEADER,1,3,1,18,1,3,0,0,0,0,0,0,0,0,0
2825,29,ring,2825,1,1,2825,3,0,18,0,1,29,0,2825,0,2,0,0,0,LEADER,1,3,1,32,1,3,0,0,0,0,0,0,0,0,0
3331,2,ring,3331,1,1,3331,3,6,18,36,1,1,0,3331,0,2,0,0,0,NORMAL,0,3,1,4,2,3,6,0,0,0,0,0,0,0,0
3292,6,ring,3292,1,1,3292,3,4,18,24,1,1,0,3292,0,2,0,0,0,NORMAL,0,3,1,2,5,3,4,0,0,0,0,0,0,0,0
