timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2706,71,ring,2706,1,1,2706,3,12,18,72,1,1,0,2706,0,2,0,0,0,NORMAL,0,3,1,2,6,3,12,0,0,0,0,0,0,0,0
2802,27,ring,2802,1,1,2802,3,14,18,84,1,1,0,2802,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
2939,24,ring,2939,1,1,2939,3,14,18,84,1,1,0,2939,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
2963,15,ring,2963,1,1,2963,3,14,18,84,1,1,0,2963,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
2993,33,ring,2993,1,1,2993,3,14,18,84,1,1,0,2993,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
2809,58,ring,2809,1,1,2809,3,14,18,84,1,1,0,2809,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
2905,88,ring,2905,1,1,2905,3,13,18,78,1,1,0,2905,0,2,0,0,0,NORMAL,0,3,1,2,6,3,13,0,0,0,0,0,0,0,0
2721,36,ring,2721,1,1,2721,3,14,18,84,1,1,0,2721,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
3074,21,ring,3074,1,1,3074,3,15,18,90,1,1,0,3074,0,2,0,0,0,NORMAL,0,3,1,3,5,3,15,0,0,0,0,0,0,0,0
3081,38,ring,3081,1,1,3081,3,15,18,90,1,1,0,3081,0,2,0,0,0,NORMAL,0,3,1,3,5,3,15,0,0,0,0,0,0,0,0
2890,73,ring,2890,1,1,2890,3,14,18,84,1,1,0,2890,0,2,0,0,0,NORMAL,0,3,1,3,5,3,14,0,0,0,0,0,0,0,0
2895,46,ring,2895,1,1,2895,3,15,18,90,1,1,0,2895,0,2,0,0,0,NORMAL,0,3,1,3,5,3,15,0,0,0,0,0,0,0,0
2734,7,ring,2734,1,1,2734,3,16,18,96,1,1,0,2734,0,2,0,0,0,NORMAL,0,3,1,3,4,3,16,0,0,0,0,0,0,0,0
3093,63,ring,3093,1,1,3093,3,15,18,90,1,1,0,3093,0,2,0,0,0,NORMAL,0,3,1,3,5,3,15,0,0,0,0,0,0,0,0
2794,90,ring,2794,1,1,2794,3,15,18,90,1,1,0,2794,0,2,0,0,0,NORMAL,0,3,1,3,5,3,15,0,0,0,0,0,0,0,0
2875,78,ring,2875,1,1,2875,3,15,18,90,1,1,0,2875,0,2,0,0,0,NORMAL,0,3,1,3,5,3,15,0,0,0,0,0,0,0,0
2915,56,ring,2915,1,1,2915,3,16,18,96,1,1,0,2915,0,2,0,0,0,NORMAL,0,3,1,3,5,3,16,0,0,0,0,0,0,0,0
2923,39,ring,2923,1,1,2923,3,17,18,102,1,1,0,2923,0,2,0,0,0,NORMAL,0,3,1,3,5,3,17,0,0,0,0,0,0,0,0
3162,40,ring,3162,1,1,3162,3,17,18,102,1,1,0,3162,0,2,0,0,0,NORMAL,0,3,1,3,5,3,17,0,0,0,0,0,0,0,0
3245,28,ring,3245,1,1,3245,3,17,18,102,1,1,0,3245,0,2,0,0,0,NORMAL,0,3,1,3,5,3,17,0,0,0,0,0,0,0,0
2986,2,ring,2986,1,1,2986,3,18,18,108,1,1,0,2986,0,2,0,0,0,NORMAL,0,3,1,3,3,3,18,0,0,0,0,0,0,0,0
2741,81,ring,2741,1,1,2741,3,16,18,96,1,1,0,2741,0,2,0,0,0,NORMAL,0,3,1,3,5,3,16,0,0,0,0,0,0,0,0
