timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
10415,3,ring,1200,0,0,0,6,8,84,112,1,5,9215,299,0,2,0,4,4,NORMAL,0,0,6,2,2,8,2,2,8,2,2,0,0,0,0
10972,2,ring,1580,0,0,0,6,8,84,112,1,5,9392,304,0,2,0,4,4,NORMAL,0,0,6,2,2,8,2,2,8,2,2,0,0,0,0
10837,5,ring,1107,1,1,271,6,8,84,112,1,5,9730,271,0,2,0,4,4,LEADER,1,6,6,2,2,8,2,2,8,2,2,0,0,0,0
11530,1,ring,1413,0,0,0,7,9,98,126,1,5,10117,290,0,2,0,5,5,NORMAL,0,0,7,2,2,10,2,2,10,2,2,0,0,0,0
11393,4,ring,1057,0,0,0,7,9,98,126,1,5,10336,280,0,2,0,5,5,NORMAL,0,0,7,2,2,10,2,2,10,2,2,0,0,0,0
20415,3,ring,1200,0,0,0,11,13,154,182,1,5,19215,299,0,2,0,9,9,NORMAL,0,0,11,2,2,18,2,2,18,2,2,0,0,0,0
20972,2,ring,1580,0,0,0,11,13,154,182,1,5,19392,304,0,2,0,9,9,NORMAL,0,0,11,2,2,18,2,2,18,2,2,0,0,0,0
20837,5,ring,1107,1,1,271,11,13,154,182,1,5,19730,271,0,2,0,9,9,LEADER,1,11,11,2,2,18,2,2,18,2,2,0,0,0,0
21530,1,ring,1413,0,0,0,12,14,168,196,1,5,20117,290,0,2,0,10,10,NORMAL,0,0,12,2,2,20,2,2,20,2,2,0,0,0,0
21393,4,ring,1057,0,0,0,12,14,168,196,1,5,20336,280,0,2,0,10,10,NORMAL,0,0,12,2,2,20,2,2,20,2,2,0,0,0,0
30415,3,ring,1200,0,0,0,16,18,224,252,1,5,29215,299,0,2,0,14,14,NORMAL,0,0,16,2,2,28,2,2,28,2,2,0,0,0,0
30972,2,ring,1580,0,0,0,16,18,224,252,1,5,29392,304,0,2,0,14,14,NORMAL,0,0,16,2,2,28,2,2,28,2,2,0,0,0,0
30837,5,ring,1107,1,1,271,16,18,224,252,1,5,29730,271,0,2,0,14,14,LEADER,1,16,16,2,2,28,2,2,28,2,2,0,0,0,0
31530,1,ring,1413,0,0,0,17,19,238,266,1,5,30117,290,0,2,0,15,15,NORMAL,0,0,17,2,2,30,2,2,30,2,2,0,0,0,0
31393,4,ring,1057,0,0,0,17,19,238,266,1,5,30336,280,0,2,0,15,15,NORMAL,0,0,17,2,2,30,2,2,30,2,2,0,0,0,0
40415,3,ring,1200,0,0,0,21,23,294,322,1,5,39215,299,0,2,0,19,19,NORMAL,0,0,21,2,2,38,2,2,38,2,2,0,0,0,0
40972,2,ring,1580,0,0,0,21,23,294,322,1,5,39392,304,0,2,0,19,19,NORMAL,0,0,21,2,2,38,2,2,38,2,2,0,0,0,0
40837,5,ring,1107,1,1,271,21,23,294,322,1,5,39730,271,0,2,0,19,19,LEADER,1,21,21,2,2,38,2,2,38,2,2,0,0,0,0
41530,1,ring,1413,0,0,0,22,24,308,336,1,5,40117,290,0,2,0,20,20,NORMAL,0,0,22,2,2,40,2,2,40,2,2,0,0,0,0
41393,4,ring,1057,0,0,0,22,24,308,336,1,5,40336,280,0,2,0,20,20,NORMAL,0,0,22,2,2,40,2,2,40,2,2,0,0,0,0
50415,3,ring,1200,0,0,0,26,28,364,392,1,5,49215,299,0,2,0,24,24,NORMAL,0,0,26,2,2,48,2,2,48,2,2,0,0,0,0
50972,2,ring,1580,0,0,0,26,28,364,392,1,5,49392,304,0,2,0,24,24,NORMAL,0,0,26,2,2,48,2,2,48,2,2,0,0,0,0
50837,5,ring,1107,1,1,271,26,28,364,392,1,5,49730,271,0,2,0,24,24,LEADER,1,26,26,2,2,48,2,2,48,2,2,0,0,0,0
51530,1,ring,1413,0,0,0,27,29,378,406,1,5,50117,290,0,2,0,25,25,NORMAL,0,0,27,2,2,50,2,2,50,2,2,0,0,0,0
51393,4,ring,1057,0,0,0,27,29,378,406,1,5,50336,280,0,2,0,25,25,NORMAL,0,0,27,2,2,50,2,2,50,2,2,0,0,0,0
60415,3,ring,1200,0,0,0,31,33,434,462,1,5,59215,299,0,2,0,29,29,NORMAL,0,0,31,2,2,58,2,2,58,2,2,0,0,0,0
60972,2,ring,1580,0,0,0,31,33,434,462,1,5,59392,304,0,2,0,29,29,NORMAL,0,0,31,2,2,58,2,2,58,2,2,0,0,0,0
60837,5,ring,1107,1,1,271,31,33,434,462,1,5,59730,271,0,2,0,29,29,LEADER,1,31,31,2,2,58,2,2,58,2,2,0,0,0,0
61530,1,ring,1413,0,0,0,32,34,448,476,1,5,60117,290,0,2,0,30,30,NORMAL,0,0,32,2,2,60,2,2,60,2,2,0,0,0,0
61393,4,ring,1057,0,0,0,32,34,448,476,1,5,60336,280,0,2,0,30,30,NORMAL,0,0,32,2,2,60,2,2,60,2,2,0,0,0,0
70415,3,ring,1200,0,0,0,36,38,504,532,1,5,69215,299,0,2,0,34,34,NORMAL,0,0,36,2,2,68,2,2,68,2,2,0,0,0,0
70972,2,ring,1580,0,0,0,36,38,504,532,1,5,69392,304,0,2,0,34,34,NORMAL,0,0,36,2,2,68,2,2,68,2,2,0,0,0,0
70837,5,ring,1107,1,1,271,36,38,504,532,1,5,69730,271,0,2,0,34,34,LEADER,1,36,36,2,2,68,2,2,68,2,2,0,0,0,0
71530,1,ring,1413,0,0,0,37,39,518,546,1,5,70117,290,0,2,0,35,35,NORMAL,0,0,37,2,2,70,2,2,70,2,2,0,0,0,0
71393,4,ring,1057,0,0,0,37,39,518,546,1,5,70336,280,0,2,0,35,35,NORMAL,0,0,37,2,2,70,2,2,70,2,2,0,0,0,0
80415,3,ring,1200,0,0,0,41,43,574,602,1,5,79215,299,0,2,0,39,39,NORMAL,0,0,41,2,2,78,2,2,78,2,2,0,0,0,0
80972,2,ring,1580,0,0,0,41,43,574,602,1,5,79392,304,0,2,0,39,39,NORMAL,0,0,41,2,2,78,2,2,78,2,2,0,0,0,0
80837,5,ring,1107,1,1,271,41,43,574,602,1,5,79730,271,0,2,0,39,39,LEADER,1,41,41,2,2,78,2,2,78,2,2,0,0,0,0
81530,1,ring,1413,0,0,0,42,44,588,616,1,5,80117,290,0,2,0,40,40,NORMAL,0,0,42,2,2,80,2,2,80,2,2,0,0,0,0
