timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
1452,3,ring,1452,1,0,0,2,1,28,14,1,1,0,1452,0,2,0,0,0,NORMAL,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1927,4,ring,1927,1,0,0,2,2,28,28,1,1,0,1927,0,2,0,0,0,NORMAL,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2222,1,ring,2222,1,0,0,1,3,14,42,1,1,0,2222,0,2,0,0,0,LEADER,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2066,2,ring,2066,1,0,0,1,4,14,56,1,1,0,2066,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
2336,5,ring,2336,1,0,0,1,3,14,42,1,1,0,2336,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
3264,4,ring,1927,1,0,0,2,2,28,28,1,1,1337,1927,0,2,0,0,0,NORMAL,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
3157,2,ring,2066,1,0,0,1,4,14,56,1,1,1091,2066,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
3256,5,ring,2336,1,0,0,1,3,14,42,1,1,920,2336,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
3718,1,ring,2222,1,0,0,1,3,14,42,1,1,1496,2222,0,2,0,0,0,LEADER,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0
4176,5,ring,2336,1,0,0,1,3,14,42,1,1,1840,2336,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
4248,2,ring,2066,1,0,0,1,4,14,56,1,1,2182,2066,0,2,0,0,0,NORMAL,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
4262,3,ring,1452,1,0,0,2,1,28,14,1,1,2810,1452,0,2,0,0,0,NORMAL,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
4601,4,ring,1927,1,0,0,2,3,28,42,1,1,2674,1927,0,2,0,0,0,NORMAL,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
5214,1,ring,2222,1,0,0,1,5,14,70,1,1,2992,2222,0,2,0,0,0,LEADER,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0
5167,5,ring,2336,1,0,0,4,5,56,70,2,4,2831,2336,0,3,0,0,0,NORMAL,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0
5454,2,ring,2066,1,0,0,3,8,42,112,1,1,3388,2066,0,3,0,0,0,NORMAL,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0
