trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,adaptive-prasle-mesh,100,120,1491,120214,214
2,adaptive-prasle-mesh,100,120,1448,120171,171
3,adaptive-prasle-mesh,100,120,1593,120316,316
4,adaptive-prasle-mesh,100,120,1730,120453,453
5,adaptive-prasle-mesh,100,120,1475,120261,261
6,adaptive-prasle-mesh,100,120,1648,120426,426
7,adaptive-prasle-mesh,100,120,1459,120069,69
8,adaptive-prasle-mesh,100,120,1558,120281,281
9,adaptive-prasle-mesh,100,120,1521,120151,151
10,adaptive-prasle-mesh,100,120,1433,120156,156
