timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
1427,7,ring,1427,1,0,0,3,6,42,84,1,1,0,1427,0,2,0,0,0,NORMAL,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
1762,4,ring,1762,1,0,0,2,11,28,154,1,1,0,1762,0,2,0,0,0,NORMAL,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0
2061,5,ring,2061,1,0,0,2,11,28,154,1,1,0,2061,0,2,0,0,0,NORMAL,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0
1735,1,ring,1735,1,0,0,1,12,14,168,1,1,0,1735,0,2,0,0,0,LEADER,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0
1864,9,ring,1864,1,0,0,1,12,14,168,1,1,0,1864,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
2051,6,ring,2051,1,0,0,1,12,14,168,1,1,0,2051,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
1868,8,ring,1868,1,0,0,1,12,14,168,1,1,0,1868,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
2237,3,ring,2237,1,0,0,1,12,14,168,1,1,0,2237,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
1803,2,ring,1803,1,0,0,1,12,14,168,1,1,0,1803,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
2446,10,ring,2446,1,0,0,1,12,14,168,1,1,0,2446,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
2500,7,ring,1427,1,0,0,3,10,42,140,1,1,1073,1427,0,2,0,0,0,NORMAL,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0
3056,5,ring,2061,1,0,0,2,11,28,154,1,1,995,2061,0,2,0,0,0,NORMAL,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0
2712,1,ring,1735,1,0,0,1,12,14,168,1,1,977,1735,0,2,0,0,0,LEADER,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0
2784,9,ring,1864,1,0,0,1,12,14,168,1,1,920,1864,0,2,0,0,0,NORMAL,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
