trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,adaptive-prasle,5,2529,2200,2,5,true
2,adaptive-prasle,5,2438,2292,2,5,true
3,adaptive-prasle,5,2368,2786,2,5,true
4,adaptive-prasle,5,2841,1954,2,5,true
5,adaptive-prasle,5,1697,2389,2,5,true
6,adaptive-prasle,5,2444,2354,2,5,true
7,adaptive-prasle,5,2438,2253,2,5,true
8,adaptive-prasle,5,2395,2414,2,5,true
9,adaptive-prasle,5,2248,1775,2,5,true
10,adaptive-prasle,5,2232,2409,2,5,true
