timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
10263,7,ring,5319,2,2,56,10,67,80,536,1,10,4944,56,5001,6,1,0,2,NORMAL,0,0,0,2,8,0,12,51,2,0,0,0,0,0,0
10536,1,ring,5321,2,2,35,2,75,16,600,1,10,5215,35,4751,6,1,0,2,NORMAL,0,0,0,2,0,0,12,59,2,0,0,0,0,0,0
10400,4,ring,4969,2,2,65,6,68,48,544,1,10,5431,65,4505,6,1,0,2,NORMAL,0,0,0,2,4,0,11,53,2,0,0,0,0,0,0
11148,9,ring,5253,2,1,87,13,64,104,512,1,10,5895,106,4000,5,1,0,2,NORMAL,0,0,0,2,11,0,12,48,2,0,0,0,0,0,0
10592,10,ring,4591,1,1,4001,17,51,136,408,1,10,6001,4001,0,2,1,3,0,LEADER,1,0,0,1,11,2,11,40,0,0,0,0,0,1,0
11706,8,ring,5144,1,1,29,11,67,88,536,1,10,6562,29,3410,4,0,0,3,NORMAL,0,0,0,1,10,0,13,49,2,0,0,0,0,0,0
11421,3,ring,4828,1,1,89,4,71,32,568,1,10,6593,89,3319,4,0,0,3,NORMAL,0,0,0,1,3,0,12,54,2,0,0,0,0,0,0
11842,5,ring,5169,1,1,46,7,71,56,568,1,10,6673,46,3282,4,0,0,3,NORMAL,0,0,0,1,6,0,13,53,2,0,0,0,0,0,0
11285,6,ring,4490,1,1,69,6,58,48,464,1,10,6795,69,3137,4,0,0,3,NORMAL,0,0,0,1,5,0,10,43,2,0,0,0,0,0,0
11979,2,ring,4657,1,1,20,2,66,16,528,1,10,7322,20,2659,4,0,0,3,NORMAL,0,0,0,1,1,0,11,50,2,0,0,0,0,0,0
20263,7,ring,5319,2,2,56,10,72,80,576,1,10,14944,56,5001,6,1,0,7,NORMAL,0,0,0,2,8,0,12,51,2,0,0,0,0,0,0
20536,1,ring,5321,2,2,35,2,80,16,640,1,10,15215,35,4751,6,1,0,7,NORMAL,0,0,0,2,0,0,12,59,2,0,0,0,0,0,0
20400,4,ring,4969,2,2,65,6,73,48,584,1,10,15431,65,4505,6,1,0,7,NORMAL,0,0,0,2,4,0,11,53,2,0,0,0,0,0,0
21148,9,ring,5253,2,1,87,13,69,104,552,1,10,15895,106,4000,5,1,0,7,NORMAL,0,0,0,2,11,0,12,48,2,0,0,0,0,0,0
20592,10,ring,4591,1,1,4001,22,51,176,408,1,10,16001,4001,0,2,1,8,0,LEADER,1,0,0,1,11,2,11,40,0,0,0,0,0,1,0
21706,8,ring,5144,1,1,29,11,72,88,576,1,10,16562,29,3410,4,0,0,8,NORMAL,0,0,0,1,10,0,13,49,2,0,0,0,0,0,0
21421,3,ring,4828,1,1,89,4,76,32,608,1,10,16593,89,3319,4,0,0,8,NORMAL,0,0,0,1,3,0,12,54,2,0,0,0,0,0,0
21842,5,ring,5169,1,1,46,7,76,56,608,1,10,16673,46,3282,4,0,0,8,NORMAL,0,0,0,1,6,0,13,53,2,0,0,0,0,0,0
21285,6,ring,4490,1,1,69,6,63,48,504,1,10,16795,69,3137,4,0,0,8,NORMAL,0,0,0,1,5,0,10,43,2,0,0,0,0,0,0
21979,2,ring,4657,1,1,20,2,71,16,568,1,10,17322,20,2659,4,0,0,8,NORMAL,0,0,0,1,1,0,11,50,2,0,0,0,0,0,0
30263,7,ring,5319,2,2,56,10,77,80,616,1,10,24944,56,5001,6,1,0,12,NORMAL,0,0,0,2,8,0,12,51,2,0,0,0,0,0,0
30536,1,ring,5321,2,2,35,2,85,16,680,1,10,25215,35,4751,6,1,0,12,NORMAL,0,0,0,2,0,0,12,59,2,0,0,0,0,0,0
30400,4,ring,4969,2,2,65,6,78,48,624,1,10,25431,65,4505,6,1,0,12,NORMAL,0,0,0,2,4,0,11,53,2,0,0,0,0,0,0
31148,9,ring,5253,2,1,87,13,74,104,592,1,10,25895,106,4000,5,1,0,12,NORMAL,0,0,0,2,11,0,12,48,2,0,0,0,0,0,0
30592,10,ring,4591,1,1,4001,27,51,216,408,1,10,26001,4001,0,2,1,13,0,LEADER,1,0,0,1,11,2,11,40,0,0,0,0,0,1,0
31706,8,ring,5144,1,1,29,11,77,88,616,1,10,26562,29,3410,4,0,0,13,NORMAL,0,0,0,1,10,0,13,49,2,0,0,0,0,0,0
