timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
2789,50,ring,2789,1,1,2789,3,0,18,0,1,50,0,2789,0,2,0,0,0,LEADER,1,3,1,53,1,3,0,0,0,0,0,0,0,0,0
2807,92,ring,2807,1,1,2807,3,0,18,0,1,92,0,2807,0,2,0,0,0,LEADER,1,3,1,95,1,3,0,0,0,0,0,0,0,0,0
2734,41,ring,2734,1,1,2734,3,0,18,0,1,41,0,2734,0,2,0,0,0,LEADER,1,3,1,44,1,3,0,0,0,0,0,0,0,0,0
2719,73,ring,2719,1,1,2719,3,0,18,0,1,73,0,2719,0,2,0,0,0,LEADER,1,3,1,76,1,3,0,0,0,0,0,0,0,0,0
2801,61,ring,2801,1,1,2801,3,0,18,0,1,61,0,2801,0,2,0,0,0,LEADER,1,3,1,64,1,3,0,0,0,0,0,0,0,0,0
2753,83,ring,2753,1,1,2753,3,0,18,0,1,83,0,2753,0,2,0,0,0,LEADER,1,3,1,86,1,3,0,0,0,0,0,0,0,0,0
3025,77,ring,3025,1,1,3025,3,0,18,0,1,77,0,3025,0,2,0,0,0,LEADER,1,3,1,80,1,3,0,0,0,0,0,0,0,0,0
2889,80,ring,2889,1,1,2889,3,0,18,0,1,80,0,2889,0,2,0,0,0,LEADER,1,3,1,83,1,3,0,0,0,0,0,0,0,0,0
2822,60,ring,2822,1,1,2822,3,0,18,0,1,60,0,2822,0,2,0,0,0,LEADER,1,3,1,63,1,3,0,0,0,0,0,0,0,0,0
3137,1,ring,3137,1,1,3137,3,1,18,6,1,1,0,3137,0,2,0,0,0,LEADER,1,3,1,4,1,3,1,0,0,0,0,0,0,0,0
2922,21,ring,2922,1,1,2922,3,0,18,0,1,21,0,2922,0,2,0,0,0,LEADER,1,3,1,24,1,3,0,0,0,0,0,0,0,0,0
2783,19,ring,2783,1,1,2783,3,0,18,0,1,19,0,2783,0,2,0,0,0,LEADER,1,3,1,22,1,3,0,0,0,0,0,0,0,0,0
