trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-line,100,150,2719,153041,3041
2,prasle-line,100,150,2795,152490,2490
3,prasle-line,100,150,2807,152505,2505
4,prasle-line,100,150,2815,152632,2632
5,prasle-line,100,150,2753,152725,2725
6,prasle-line,100,150,2778,153220,3220
7,prasle-line,100,150,2818,152513,2513
8,prasle-line,100,150,2784,152860,2860
9,prasle-line,100,150,2937,153069,3069
10,prasle-line,100,150,2765,152706,2706
