trial,algorithm,node_count,crash_time_s,initial_convergence_time_ms,recovery_convergence_time_ms,total_recovery_time_ms
1,prasle-mesh,100,120,2843,120296,296
2,prasle-mesh,100,120,2727,120180,180
3,prasle-mesh,100,120,2757,120210,210
4,prasle-mesh,100,120,2868,120321,321
5,prasle-mesh,100,120,2840,120292,292
6,prasle-mesh,100,120,2753,120206,206
7,prasle-mesh,100,120,2760,120212,212
8,prasle-mesh,100,120,2786,120090,90
9,prasle-mesh,100,120,2911,120364,364
10,prasle-mesh,100,120,2826,120279,279
