trial,algorithm,node_count,partition_a_convergence_ms,partition_b_convergence_ms,partition_a_leader,partition_b_leader,split_brain
1,prasle-mesh,50,3194,2855,1,43,true
2,prasle-mesh,50,3098,2948,1,50,true
3,prasle-mesh,50,2830,2798,1,48,true
4,prasle-mesh,50,2972,2935,1,41,true
5,prasle-mesh,50,2897,2795,21,42,true
6,prasle-mesh,50,2954,2762,1,28,true
7,prasle-mesh,50,2974,2862,1,27,true
8,prasle-mesh,50,3301,2919,21,44,true
9,prasle-mesh,50,3026,3113,1,36,true
10,prasle-mesh,50,3036,2782,15,40,true
